控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中
view_ba27a1df2a40cc2f63697dfc71f86c79.png,6,True,1,10,True,True,True
view_0702af1b9b25fd7f1de5a51d009bf36c.png,11,True,0,26,True,True,True
view_03873cb330123484b28437172d028393.png,11,True,1,26,True,True,True
view_036db19dd3ca2bfe15721c3150990f86.png,17,True,4,32,True,True,True
view_52aab8a65f4106aa0022d30a17056599.png,17,False,13,32,False,False,False
view_388d4340422c2e5da6110b736456d4b7.png,23,False,16,28,False,False,False
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,23,False,23,28,False,False,False
view_bed672cef70c91b21e0092a3bbffb37b.png,32,True,5,16,False,False,True
view_a4264a050fbc1523de3338d64580ba79.png,40,False,6,11,False,False,False
view_4d03888ec5acebf863fb8debe4535ffb.png,57,False,11,13,False,False,False
view_10c848e6af2d7371e7c8063e46ff610c.png,64,False,7,19,False,False,False
view_48f72e7fb6e500559fd750d5456ef584.png,67,False,1,4,False,False,False
view_ca8c093974517c20c9f70b9dd0064138.png,67,False,2,4,False,False,False
view_69d0f1bb75ac90746cb81b7943ad209e.png,71,False,4,10,False,False,False
view_b189627e1375d433fe899275dffd499e.png,71,False,5,10,False,False,False
view_1b7713bc6b808e56e533c6512cba249f.png,73,True,1,40,True,True,True
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,73,False,10,40,False,False,False
view_cb998351b18907c11d8dbd43fff35ea5.png,75,True,1,9,True,False,False
view_ac28492f1787a95585bf168676e5e07e.png,75,True,2,9,True,False,False
view_9099969ab4a16a477182d4d0a355d0bc.png,76,True,3,15,True,False,True
view_a32f613e211adbcddeaabd1d5cd7e261.png,78,False,18,26,False,False,False
view_a5af5ebb87c06b9e8f612da9c70128a0.png,82,True,0,11,True,True,True
view_6036d6a923e2fc4b26cb85b4324b61fd.png,89,True,4,15,True,False,True
view_8f31eb7e5a23c5234243c915c5f14acf.png,95,True,0,5,True,True,True
view_7721915c5adce47fc5fb59f6d39733c0.png,134,True,2,8,True,False,False
view_453a65384090d62e4aa9582ec6ec5b69.png,136,True,0,6,True,True,True
view_2fecd352e53d0f934542a5bfa095083a.png,167,False,2,3,False,False,False
