控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中
view_ba27a1df2a40cc2f63697dfc71f86c79.png,3,False,5,8,False,False,False
view_0702af1b9b25fd7f1de5a51d009bf36c.png,6,True,0,24,True,True,True
view_03873cb330123484b28437172d028393.png,6,True,1,24,True,True,True
view_036db19dd3ca2bfe15721c3150990f86.png,9,False,1,3,False,False,False
view_388d4340422c2e5da6110b736456d4b7.png,17,False,1,4,False,False,False
view_bed672cef70c91b21e0092a3bbffb37b.png,19,True,1,10,True,True,True
view_52aab8a65f4106aa0022d30a17056599.png,40,False,6,12,False,False,False
view_4d03888ec5acebf863fb8debe4535ffb.png,41,False,5,7,False,False,False
view_b189627e1375d433fe899275dffd499e.png,52,True,1,7,True,False,False
view_69d0f1bb75ac90746cb81b7943ad209e.png,52,True,2,7,True,False,False
view_a4264a050fbc1523de3338d64580ba79.png,59,False,3,6,False,False,False
view_a5af5ebb87c06b9e8f612da9c70128a0.png,62,True,0,5,True,True,True
view_9099969ab4a16a477182d4d0a355d0bc.png,71,False,6,9,False,False,False
view_8f31eb7e5a23c5234243c915c5f14acf.png,72,True,0,5,True,True,False
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,90,True,0,9,True,True,True
view_cb998351b18907c11d8dbd43fff35ea5.png,93,True,1,6,True,False,False
view_453a65384090d62e4aa9582ec6ec5b69.png,102,True,0,3,True,False,False
view_6036d6a923e2fc4b26cb85b4324b61fd.png,111,False,1,4,False,False,False
