控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中
view_a4264a050fbc1523de3338d64580ba79.png,4,False,19,22,False,False,False
view_ba27a1df2a40cc2f63697dfc71f86c79.png,6,True,3,13,True,False,False
view_0702af1b9b25fd7f1de5a51d009bf36c.png,12,True,2,55,True,True,False
view_10c848e6af2d7371e7c8063e46ff610c.png,12,True,4,55,True,True,False
view_03873cb330123484b28437172d028393.png,12,False,35,55,False,False,False
view_52aab8a65f4106aa0022d30a17056599.png,22,False,12,59,False,False,False
view_036db19dd3ca2bfe15721c3150990f86.png,22,False,27,59,False,False,False
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,29,False,26,38,False,False,False
view_388d4340422c2e5da6110b736456d4b7.png,29,False,29,38,False,False,False
view_a32f613e211adbcddeaabd1d5cd7e261.png,46,False,54,83,False,False,False
view_4d03888ec5acebf863fb8debe4535ffb.png,68,False,11,15,False,False,False
view_8f31eb7e5a23c5234243c915c5f14acf.png,75,False,6,7,False,False,False
view_e5781695fe273ec9a262860979d49e00.png,78,False,13,17,False,False,False
view_a5af5ebb87c06b9e8f612da9c70128a0.png,82,False,8,16,False,False,False
view_b189627e1375d433fe899275dffd499e.png,85,True,1,10,True,True,True
view_69d0f1bb75ac90746cb81b7943ad209e.png,85,False,4,10,False,False,False
view_1b7713bc6b808e56e533c6512cba249f.png,86,True,0,56,True,True,False
view_ac28492f1787a95585bf168676e5e07e.png,88,True,0,9,True,True,True
view_cb998351b18907c11d8dbd43fff35ea5.png,88,False,3,9,False,False,False
view_9099969ab4a16a477182d4d0a355d0bc.png,91,True,3,18,True,False,False
view_6036d6a923e2fc4b26cb85b4324b61fd.png,103,False,14,19,False,False,False
view_7721915c5adce47fc5fb59f6d39733c0.png,151,False,6,8,False,False,False
view_453a65384090d62e4aa9582ec6ec5b69.png,152,False,4,6,False,False,False
view_0920dbb7ce6fc1f9c1addacb5d1d9b8b.png,172,False,2,3,False,False,False
view_2fecd352e53d0f934542a5bfa095083a.png,192,False,1,3,False,False,False
